"","journal","oldtier","ERS","repec_impact","repec_h","sjr","sh","tr_impact","tr_ef","econ_flag","pc_score","PC_tier","nonecon_tier","econ_tier"
"11105","foot and ankle specialist",NA,0,NA,NA,0.458,18,NA,NA,NA,-1.04261747590914,NA,"Tier III","Tier III"
"11106","iet signal processing",NA,0,NA,NA,0.458,28,1.298,0.00216,NA,1.65396572386299,NA,"Tier II","Tier II"
"11107","international journal of lower extremity wounds",NA,0,NA,NA,0.458,28,1.548,0.00092,NA,1.04901053265474,NA,"Tier III","Tier III"
"11108","international journal of hematologyoncology and stem cell research",NA,0,NA,NA,0.457,8,NA,NA,NA,-1.41751301235676,NA,"Tier III","Tier III"
"11109","bioresources",NA,0,NA,NA,0.457,45,1.321,0.01076,NA,2.31381988035366,NA,"Tier II","Tier II"
"11110","rofo fortschritte auf dem gebiet der rontgenstrahlen und der bildgebenden verfahren",NA,0,NA,NA,0.457,45,NA,NA,NA,1.74524538548126,NA,"Tier II","Tier II"
"11111","journal of lgbt issues in counseling",NA,0,NA,NA,0.457,15,NA,NA,NA,-0.844630593196092,NA,"Tier III","Tier III"
"11112","global health promotion",NA,0,NA,NA,0.457,24,1.442,0.00107,NA,1.25121683373182,NA,"Tier III","Tier III"
"11113","international journal of qualitative studies on health and wellbeing",NA,0,NA,NA,0.457,20,1.461,0.00113,NA,1.02047232128225,NA,"Tier III","Tier III"
"11114","phytocoenologia",NA,0,NA,NA,0.457,27,1.657,0.00031,NA,0.433123679606284,NA,"Tier III","Tier III"
"11115","cardiovascular engineering and technology",NA,0,NA,NA,0.457,15,1.064,0.00101,NA,1.35224440075943,NA,"Tier III","Tier III"
"11116","acta geologica sinica",NA,0,NA,NA,0.457,45,NA,NA,NA,1.7499632755611,NA,"Tier II","Tier II"
"11117","jraas  journal of the reninangiotensinaldosterone system",NA,0,NA,NA,0.457,41,NA,NA,NA,1.63579338904621,NA,"Tier II","Tier II"
"11118","pesquisa agropecuaria brasileira",NA,0,NA,NA,0.457,43,0.542,0.00344,NA,2.4588203883156,NA,"Tier II","Tier II"
"11119","bulletin of the polish academy of sciences: technical sciences",NA,0,NA,NA,0.457,30,NA,NA,NA,1.03987735501429,NA,"Tier III","Tier III"
"11120","2013 ieee globecom workshops, gc wkshps 2013",NA,0,NA,NA,0.457,14,NA,NA,NA,-0.86996604669416,NA,"Tier III","Tier III"
"11121","teaching and learning in nursing",NA,0,NA,NA,0.457,13,NA,NA,NA,-0.887876611792935,NA,"Tier III","Tier III"
"11122","illinois journal of mathematics",NA,0,NA,NA,0.457,29,NA,NA,NA,1.40006897985353,NA,"Tier III","Tier III"
"11123","epilepsy currents",NA,0,NA,NA,0.457,16,5.625,0.00165,NA,1.62736370403619,NA,"Tier II","Tier II"
"11124","international journal of odonatology",NA,0,NA,NA,0.456,9,0.647,0.00037,NA,0.978901801339972,NA,"Tier III","Tier III"
"11125","botanica marina",NA,0,NA,NA,0.456,45,1.239,0.00135,NA,1.78962140235904,NA,"Tier II","Tier II"
"11126","annals of surgical treatment and research",NA,0,NA,NA,0.456,15,1.491,0.00111,NA,1.02547900184744,NA,"Tier III","Tier III"
"11127","east asian journal on applied mathematics",NA,0,NA,NA,0.456,8,0.426,0.00037,NA,0.766467589741959,NA,"Tier III","Tier III"
"11128","paleontological research",NA,0,NA,NA,0.456,20,0.68,0.00042,NA,0.664643657753064,NA,"Tier III","Tier III"
"11130","minerals and metallurgical processing",NA,0,NA,NA,0.456,21,0.692,0.00035,NA,0.731570097599923,NA,"Tier III","Tier III"
"11131","software quality journal",NA,0,NA,NA,0.456,33,1.816,0.00123,NA,1.40490338948092,NA,"Tier III","Tier III"
"11132","pediatric gastroenterology, hepatology and nutrition",NA,0,NA,NA,0.456,10,NA,NA,NA,-1.35320481151046,NA,"Tier III","Tier III"
"11133","eneuro",NA,0,NA,NA,0.456,3,NA,NA,NA,-1.57075717117292,NA,"Tier III","Tier III"
"11134","proceedings  2013 international symposium on theoretical aspects of software engineering, tase 2013",NA,0,NA,NA,0.456,5,NA,NA,NA,-1.5329151532114,NA,"Tier III","Tier III"
"11135","folia neuropathologica",NA,0,NA,NA,0.456,29,1.093,0.00083,NA,1.20802749992533,NA,"Tier III","Tier III"
"11137","journal of southern african studies",NA,0,NA,NA,0.456,37,0.563,0.00147,NA,1.73588016955624,NA,"Tier II","Tier II"
"11138","proceedings  euromicro conference on realtime systems",NA,0,NA,NA,0.455,42,NA,NA,NA,1.64002440505669,NA,"Tier II","Tier II"
"11139","social theory and health",NA,0,NA,NA,0.455,24,0.69,0.00071,NA,1.34644720938439,NA,"Tier III","Tier III"
"11140","physica b: condensed matter",NA,0,NA,NA,0.455,85,NA,NA,NA,2.44257410333894,NA,"Tier II","Tier II"
"11141","informatics for health and social care",NA,0,NA,NA,0.455,29,1.381,0.00038,NA,0.709712966832927,NA,"Tier III","Tier III"
"11142","isprs international journal of geoinformation",NA,0,NA,NA,0.455,15,1.502,0.00125,NA,1.18230215276745,NA,"Tier III","Tier III"
"11143","advanced studies in contemporary mathematics (kyungshang)",NA,0,NA,NA,0.455,30,NA,NA,NA,1.39960924562156,NA,"Tier III","Tier III"
"11144","ieee/acm international conference on computeraided design, digest of technical papers",NA,0,NA,NA,0.455,72,NA,NA,NA,2.36277281343176,NA,"Tier II","Tier II"
"11145","proceedings of the acm conference on computer supported cooperative work, cscw",NA,0,NA,NA,0.455,63,NA,NA,NA,2.29398635816988,NA,"Tier II","Tier II"
"11146","mycoscience",NA,0,NA,NA,0.455,37,1.014,0.00154,NA,1.83854996443511,NA,"Tier II","Tier II"
"11147","journal of health care for the poor and underserved",NA,0,NA,NA,0.455,46,0.916,0.00498,NA,2.44302232445987,NA,"Tier II","Tier II"
"11148","journal of the american mosquito control association",NA,0,NA,NA,0.455,48,0.86,0.00125,NA,1.84015905438967,NA,"Tier II","Tier II"
"11149","research in science and technological education",NA,0,NA,NA,0.455,9,0.676,0.00033,NA,0.893163373073486,NA,"Tier III","Tier III"
"11150","acarologia",NA,0,NA,NA,0.455,16,0.667,0.00069,NA,1.03326748825544,NA,"Tier III","Tier III"
"11151","southern medical journal",NA,0,NA,NA,0.455,65,0.932,0.00253,NA,2.42141283241314,NA,"Tier II","Tier II"
"11152","theological studies",NA,0,NA,NA,0.455,13,NA,NA,NA,-0.971641994195276,NA,"Tier III","Tier III"
"11153","international journal of inclusive education",NA,0,NA,NA,0.455,35,0.844,0.00112,NA,1.45940868076143,NA,"Tier III","Tier III"
"11154","journal of computational and nonlinear dynamics",NA,0,NA,NA,0.455,32,1.732,0.00253,NA,1.62675265865951,NA,"Tier II","Tier II"
"11155","advances in strategic management",NA,0,NA,NA,0.454,21,NA,NA,1,-0.726948659415132,NA,"Tier III","Tier III"
"11156","macromolecular research",NA,0,NA,NA,0.454,36,1.405,0.00335,NA,1.81018991701979,NA,"Tier II","Tier II"
"11157","current drug safety",NA,0,NA,NA,0.454,27,NA,NA,NA,1.28883338233816,NA,"Tier III","Tier III"
"11158","proceedings  design automation conference",NA,0,NA,NA,0.454,94,NA,NA,NA,2.49328535063367,NA,"Tier II","Tier II"
"11159","zhongguo gonglu xuebao/china journal of highway and transport",NA,0,NA,NA,0.454,21,NA,NA,NA,-0.689209438200254,NA,"Tier III","Tier III"
"11160","open mathematics",NA,0,NA,NA,0.454,17,0.682,0.00022,NA,0.667061562114246,NA,"Tier III","Tier III"
"11161","australian geographer",NA,0,NA,NA,0.454,35,1.115,0.00062,NA,1.23171140237341,NA,"Tier III","Tier III"
"11162","geneses",NA,0,NA,NA,0.454,12,NA,NA,NA,-1.28819820141282,NA,"Tier III","Tier III"
"11163","journal of trauma management and outcomes",NA,0,NA,NA,0.454,9,NA,NA,NA,-1.37869985524033,NA,"Tier III","Tier III"
"11164","text and talk",NA,0,NA,NA,0.454,32,0.448,0.00083,NA,1.32487661461003,NA,"Tier III","Tier III"
"11165","journal of earth science",NA,0,NA,NA,0.454,20,0.975,0.00159,NA,1.63250991429697,NA,"Tier II","Tier II"
"11166","gaodianya jishu/high voltage engineering",NA,0,NA,NA,0.454,35,NA,NA,NA,1.66458871879763,NA,"Tier II","Tier II"
"11167","archives of endocrinology and metabolism",NA,0,NA,NA,0.454,36,NA,NA,NA,1.71098623423143,NA,"Tier II","Tier II"
"11168","crop breeding and applied biotechnology",NA,0,NA,NA,0.454,16,0.701,0.00065,NA,1.17505321761682,NA,"Tier III","Tier III"
"11169","klinische neuroradiologie",NA,0,NA,NA,0.454,14,NA,NA,NA,-1.06335787277063,NA,"Tier III","Tier III"
"11170","science of computer programming",NA,0,NA,NA,0.454,55,1.064,0.00303,NA,2.47764045016112,NA,"Tier II","Tier II"
"11171","probiotics and antimicrobial proteins",NA,0,NA,NA,0.454,16,1.6,0.00066,NA,1.24455750579664,NA,"Tier III","Tier III"
"11172","genetic programming and evolvable machines",NA,0,NA,NA,0.454,32,1.514,0.00033,NA,0.704717210065429,NA,"Tier III","Tier III"
"11173","ethology ecology and evolution",NA,0,NA,NA,0.454,35,1.582,0.00086,NA,1.13293303498906,NA,"Tier III","Tier III"
"11174","international journal of prisoner health",NA,0,NA,NA,0.454,12,NA,NA,NA,-1.28819820141282,NA,"Tier III","Tier III"
"11175","journal of real estate portfolio management",NA,0,NA,NA,0.454,14,NA,NA,1,-0.679621106283899,NA,"Tier III","Tier III"
"11176","spatial cognition and computation",NA,0,NA,NA,0.453,24,1.167,0.00041,NA,0.870129106555255,NA,"Tier III","Tier III"
"11177","bone marrow research",NA,0,NA,NA,0.453,1,NA,NA,NA,-1.93862366608052,NA,"Tier III","Tier III"
"11178","bulletin mathematique de la societe des sciences mathematiques de roumanie",NA,0,NA,NA,0.453,11,0.362,0.00071,NA,0.859289157338748,NA,"Tier III","Tier III"
"11179","spine deformity",NA,0,NA,NA,0.453,8,NA,NA,NA,-1.42826710059532,NA,"Tier III","Tier III"
"11180","neurologia",NA,0,NA,NA,0.453,26,2.103,0.00157,NA,1.23194694087145,NA,"Tier III","Tier III"
"11181","ispass 2014  ieee international symposium on performance analysis of systems and software",NA,0,NA,NA,0.453,10,NA,NA,NA,-1.36046545387397,NA,"Tier III","Tier III"
"11182","asia pacific journal of human resources",NA,0,NA,NA,0.453,22,0.811,0.00055,NA,1.29954461855395,NA,"Tier III","Tier III"
"11183","rubber chemistry and technology",NA,0,NA,NA,0.453,52,1.011,0.00065,NA,1.78904185440513,NA,"Tier II","Tier II"
"11184","palaeoworld",NA,0,NA,NA,0.453,22,1.169,0.00068,NA,1.32410104844178,NA,"Tier III","Tier III"
"11185","iet intelligent transport systems",NA,0,NA,NA,0.453,26,1.194,0.0015,NA,1.63440104330506,NA,"Tier II","Tier II"
"11186","invertebrate reproduction and development",NA,0,NA,NA,0.453,32,0.824,0.00057,NA,1.38929654547929,NA,"Tier III","Tier III"
"11187","herpetological conservation and biology",NA,0,NA,NA,0.453,17,0.701,0.00121,NA,1.07280228691993,NA,"Tier III","Tier III"
"11188","current cardiovascular risk reports",NA,0,NA,NA,0.453,18,NA,NA,NA,-0.944490182855565,NA,"Tier III","Tier III"
"11189","adaptive behavior",NA,0,NA,NA,0.452,43,1.019,0.00073,NA,1.74747572376652,NA,"Tier II","Tier II"
"11190","clothing and textiles research journal",NA,0,NA,NA,0.452,26,0.85,0.00024,NA,0.796793323165222,NA,"Tier III","Tier III"
"11191","australian mammalogy",NA,0,NA,NA,0.452,14,0.786,0.00058,NA,1.31028489331386,NA,"Tier III","Tier III"
"11192","petroleum science",NA,0,NA,NA,0.452,17,1.323,0.00135,NA,1.24045437156466,NA,"Tier III","Tier III"
"11193","phenomenology and the cognitive sciences",NA,0,NA,NA,0.452,26,NA,NA,NA,0.959108197418561,NA,"Tier III","Tier III"
"11194","british journal of neurosurgery",NA,0,NA,NA,0.452,54,1.051,0.00392,NA,2.45889699974991,NA,"Tier II","Tier II"
"11195","review of development finance",NA,0,NA,NA,0.452,7,NA,NA,1,-1.49472365419951,NA,"Tier III","Tier III"
"11196","current sports medicine reports",NA,0,NA,NA,0.452,38,1.321,0.0023,NA,1.73601312604193,NA,"Tier II","Tier II"
"11197","jona's healthcare law, ethics, and regulation",NA,0,NA,NA,0.452,14,NA,NA,NA,-0.877484924160796,NA,"Tier III","Tier III"
"11198","journal of korean institute of metals and materials",NA,0,NA,NA,0.452,16,NA,NA,NA,-0.816763405277227,NA,"Tier III","Tier III"
"11199","journal of contemporary brachytherapy",NA,0,NA,NA,0.452,12,1.496,0.00063,NA,1.24626565905184,NA,"Tier III","Tier III"
"11200","iawa journal",NA,0,NA,NA,0.452,41,0.403,0.00065,NA,1.41958361107957,NA,"Tier III","Tier III"
"11201","johnson matthey technology review",NA,0,NA,NA,0.452,38,1.07,0.00015,NA,0.552143047254647,NA,"Tier III","Tier III"
"11202","jasss",NA,0,NA,NA,0.452,37,NA,NA,NA,1.74447506788746,NA,"Tier II","Tier II"
"11203","journal of orthopaedic surgery",NA,0,NA,NA,0.452,32,0.816,0.00185,NA,1.79042037056786,NA,"Tier II","Tier II"
"11204","journal of communications and networks",NA,0,NA,NA,0.452,32,1.13,0.00268,NA,1.74583311502357,NA,"Tier II","Tier II"
"11205","law and philosophy",NA,0,NA,NA,0.452,24,0.383,0.00057,NA,1.11388852504488,NA,"Tier III","Tier III"
"11206","helvetica chimica acta",NA,0,NA,NA,0.452,77,1.071,0.00387,NA,2.53709262668757,NA,"Tier II","Tier II"
"11207","journal of food quality",NA,0,NA,NA,0.452,32,0.968,0.00094,NA,1.32391056290481,NA,"Tier III","Tier III"
"11208","european physical journal b",NA,0,NA,NA,0.452,106,1.436,0.0124,NA,2.55809635132178,NA,"Tier II","Tier II"
"11209","cytotechnology",NA,0,NA,NA,0.452,47,1.857,0.00233,NA,1.81228529572911,NA,"Tier II","Tier II"
"11210","neurodegenerative disease management",NA,0,NA,NA,0.452,7,NA,NA,NA,-1.49472365419951,NA,"Tier III","Tier III"
"11211","supramolecular chemistry",NA,0,NA,NA,0.452,39,1.264,0.00288,NA,1.89278037496985,NA,"Tier II","Tier II"
"11212","2014 ieee global communications conference, globecom 2014",NA,0,NA,NA,0.451,16,NA,NA,NA,-0.723219837510921,NA,"Tier III","Tier III"
"11213","bulletin of the kyushu institute of technology  pure and applied mathematics",NA,0,NA,NA,0.451,2,NA,NA,NA,-1.70421440268353,NA,"Tier III","Tier III"
"11214","journal of indian academy of forensic medicine",NA,0,NA,NA,0.451,8,NA,NA,NA,-1.41312945340027,NA,"Tier III","Tier III"
"11215","clinical nephrology",NA,0,NA,NA,0.451,67,1.066,0.00302,NA,2.47500786594404,NA,"Tier II","Tier II"
"11216","ancs 2015  11th 2015 acm/ieee symposium on architectures for networking and communications systems",NA,0,NA,NA,0.451,5,NA,NA,NA,-1.52339055228703,NA,"Tier III","Tier III"
"11217","shanghai archives of psychiatry",NA,0,NA,NA,0.451,8,NA,NA,NA,-1.41312945340027,NA,"Tier III","Tier III"
"11218","journal of place management and development",NA,0,NA,NA,0.451,9,NA,NA,NA,-1.38400470587039,NA,"Tier III","Tier III"
"11219","avicenna journal of medical biotechnology",NA,0,NA,NA,0.451,10,NA,NA,NA,-1.34781629797863,NA,"Tier III","Tier III"
"11220","iforest",NA,0,NA,NA,0.451,19,NA,NA,NA,-0.892955856401984,NA,"Tier III","Tier III"
"11221","journal of education and work",NA,0,NA,NA,0.451,23,NA,NA,NA,0.47243323197215,NA,"Tier III","Tier III"
"11222","thyroid research",NA,0,NA,NA,0.451,14,NA,NA,NA,-0.853301239696259,NA,"Tier III","Tier III"
"11223","photonic sensors",NA,0,NA,NA,0.451,19,NA,NA,NA,-0.908784037051722,NA,"Tier III","Tier III"
"11224","acta acustica united with acustica",NA,0,NA,NA,0.451,45,1.119,0.00241,NA,1.88880232920414,NA,"Tier II","Tier II"
"11225","journal of function spaces",NA,0,NA,NA,0.451,12,0.451,0.00068,NA,1.24959687820193,NA,"Tier III","Tier III"
"11226","molecular diversity",NA,0,NA,NA,0.451,48,1.752,0.00195,NA,1.50358357092603,NA,"Tier III","Tier III"
"11227","ieee international reliability physics symposium proceedings",NA,0,NA,NA,0.45,42,NA,NA,NA,1.67527587763241,NA,"Tier II","Tier II"
"11228","2013 international conference on hardware/software codesign and system synthesis, codes+isss 2013",NA,0,NA,NA,0.45,10,NA,NA,NA,-1.35083363663675,NA,"Tier III","Tier III"
"11229","korean journal of anesthesiology",NA,0,NA,NA,0.45,16,NA,NA,NA,-0.490449122004066,NA,"Tier III","Tier III"
"11230","journal of essential oil research",NA,0,NA,NA,0.45,39,0.972,0.00131,NA,1.86300793755718,NA,"Tier II","Tier II"
"11231","quarterly journal of mechanics and applied mathematics",NA,0,NA,NA,0.45,28,1.213,0.00087,NA,1.3586871253985,NA,"Tier III","Tier III"
"11232","cognition, technology and work",NA,0,NA,NA,0.45,25,NA,NA,NA,0.690122354039095,NA,"Tier III","Tier III"
"11233","journal of friction and wear",NA,0,NA,NA,0.45,10,0.514,0.00064,NA,1.31708077174427,NA,"Tier III","Tier III"
"11234","guangxue xuebao/acta optica sinica",NA,0,NA,NA,0.45,33,NA,NA,NA,1.75102838653239,NA,"Tier II","Tier II"
"11235","medical hypotheses",NA,0,NA,NA,0.45,71,1.066,0.00818,NA,2.46106956563724,NA,"Tier II","Tier II"
"11236","international journal of technology management",NA,0,NA,NA,0.45,45,1.036,0.00073,NA,1.71995173409919,NA,"Tier II","Tier II"
"11237","international journal of architectural heritage",NA,0,NA,NA,0.45,18,1.053,0.00091,NA,1.12635398881098,NA,"Tier III","Tier III"
"11238","proceedings of the 5th acm multimedia systems conference, mmsys 2014",NA,0,NA,NA,0.449,8,NA,NA,NA,-1.41155769261449,NA,"Tier III","Tier III"
"11239","wood and fiber science",NA,0,NA,NA,0.449,38,0.68,0.00062,NA,1.611527334601,NA,"Tier II","Tier II"
"11240","allergologia et immunopathologia",NA,0,NA,NA,0.449,30,1.439,0.00155,NA,1.46573172666082,NA,"Tier III","Tier III"
"11241","law, probability and risk",NA,0,NA,NA,0.449,8,NA,NA,NA,-1.41155769261449,NA,"Tier III","Tier III"
"11242","ricerche di matematica",NA,0,NA,NA,0.449,12,NA,NA,NA,-1.27051700645302,NA,"Tier III","Tier III"
"11243","iieee transactions on signal and information processing over networks",NA,0,NA,NA,0.449,1,NA,NA,NA,-1.94096608868714,NA,"Tier III","Tier III"
"11244","aip advances",NA,0,NA,NA,0.449,29,1.568,0.01651,NA,2.22350209746223,NA,"Tier II","Tier II"
"11245","industrial biotechnology",NA,0,NA,NA,0.449,22,NA,NA,NA,0.411631883766775,NA,"Tier III","Tier III"
"11246","cambridge review of international affairs",NA,0,NA,NA,0.449,14,0.896,0.00094,NA,1.5307701061143,NA,"Tier III","Tier III"
"11247","college english",NA,0,NA,NA,0.449,17,NA,NA,NA,-0.975878201571934,NA,"Tier III","Tier III"
"11248","studies in political economy",NA,0,NA,NA,0.448,12,NA,NA,1,-1.29367955745422,NA,"Tier III","Tier III"
"11249","women's studies in communication",NA,0,NA,NA,0.448,8,NA,NA,NA,-1.41187320352345,NA,"Tier III","Tier III"
"11250","underwater technology",NA,0,NA,NA,0.448,13,NA,NA,NA,-1.23405100622235,NA,"Tier III","Tier III"
"11251","social anthropology",NA,0,NA,NA,0.448,23,NA,NA,NA,0.198528321221686,NA,"Tier III","Tier III"
"11252","daedalus",NA,0,NA,NA,0.448,43,0.941,0.00196,NA,2.10714247193168,NA,"Tier II","Tier II"
"11253","international journal of pharmacy practice",NA,0,NA,NA,0.448,29,NA,NA,NA,1.2662037089169,NA,"Tier III","Tier III"
"11254","organic syntheses",NA,0,NA,NA,0.448,33,NA,NA,NA,1.58478067959819,NA,"Tier III","Tier III"
"11255","feminist review",NA,0,NA,NA,0.448,34,1.519,0.00091,NA,1.20787022559012,NA,"Tier III","Tier III"
"11256","british journal of learning disabilities",NA,0,NA,NA,0.448,28,0.418,7e-04,NA,1.23532380576158,NA,"Tier III","Tier III"
"11257","pure and applied mathematics quarterly",NA,0,NA,NA,0.448,15,0.149,0.00141,NA,0.592059721534573,NA,"Tier III","Tier III"
"11258","marine fisheries review",NA,0,NA,NA,0.448,25,NA,NA,NA,0.561006315300985,NA,"Tier III","Tier III"
"11259","journal of health, organisation and management",NA,0,NA,NA,0.448,30,NA,NA,NA,1.33246530971271,NA,"Tier III","Tier III"
"11260","perception",NA,0,NA,NA,0.448,75,1.087,0.00367,NA,2.52503218842415,NA,"Tier II","Tier II"
"11261","iet information security",NA,0,NA,NA,0.448,21,1.037,0.00082,NA,1.4943011638465,NA,"Tier III","Tier III"
"11262","journal of clinical laboratory analysis",NA,0,NA,NA,0.448,40,1.521,0.00198,NA,1.80848687932824,NA,"Tier II","Tier II"
"11263","journal of language, identity, and education",NA,0,NA,NA,0.448,11,NA,NA,NA,-1.31691850577673,NA,"Tier III","Tier III"
"11264","topics in companion animal medicine",NA,0,NA,NA,0.448,35,0.438,0.00067,NA,1.33189530062514,NA,"Tier III","Tier III"
"11265","sbornik mathematics",NA,0,NA,NA,0.447,22,0.721,0.0033,NA,2.02691319671661,NA,"Tier II","Tier II"
"11266","advanced optical technologies",NA,0,NA,NA,0.447,10,NA,NA,NA,-1.35618562783386,NA,"Tier III","Tier III"
"11267","international agrophysics",NA,0,NA,NA,0.447,26,0.967,0.00118,NA,1.81078571236861,NA,"Tier II","Tier II"
"11268","clinical pharmacology in drug development",NA,0,NA,NA,0.447,10,0.911,0.00085,NA,1.42403112882117,NA,"Tier III","Tier III"
"11269","journal of supercomputing",NA,0,NA,NA,0.447,40,1.326,0.00525,NA,2.09685472363672,NA,"Tier II","Tier II"
"11270","cell and tissue banking",NA,0,NA,NA,0.447,36,1.331,0.00149,NA,1.32326561250147,NA,"Tier III","Tier III"
"11271","journal of molecular modeling",NA,0,NA,NA,0.447,54,1.425,0.01057,NA,2.34632641320213,NA,"Tier II","Tier II"
"11272","journal of the polynesian society",NA,0,NA,NA,0.447,10,0.379,1e-04,NA,-0.0962435734271833,NA,"Tier III","Tier III"
"11273","2013 ieee energy conversion congress and exposition, ecce 2013",NA,0,NA,NA,0.447,18,NA,NA,NA,-1.06671727241285,NA,"Tier III","Tier III"
"11274","ieee transactions on very large scale integration (vlsi) systems",NA,0,NA,NA,0.447,85,1.698,0.01006,NA,2.51104407996936,NA,"Tier II","Tier II"
"11275","argumentation",NA,0,NA,NA,0.447,20,0.689,0.00031,NA,0.503728022688277,NA,"Tier III","Tier III"
"11276","journal of continuing education in nursing",NA,0,NA,NA,0.447,34,0.88,0.00103,NA,1.59690412751943,NA,"Tier II","Tier II"
"11277","proceedings  graphics interface",NA,0,NA,NA,0.447,44,NA,NA,NA,1.70947413110528,NA,"Tier II","Tier II"
"11278","journal of applied remote sensing",NA,0,NA,NA,0.447,31,1.107,0.00341,NA,2.23231348318798,NA,"Tier II","Tier II"
"11279","folia histochemica et cytobiologica",NA,0,NA,NA,0.447,31,1.389,0.00122,NA,1.13267781979887,NA,"Tier III","Tier III"
"11280","proceedings of the 2014 9th international conference on cognitive radio oriented wireless networks and communications, crowncom 2014",NA,0,NA,NA,0.447,10,NA,NA,NA,-1.35618562783386,NA,"Tier III","Tier III"
"11281","proceedings of the 15th symposium on principles and practice of declarative programming, ppdp 2013",NA,0,NA,NA,0.446,7,NA,NA,NA,-1.49348611550779,NA,"Tier III","Tier III"
"11282","biocontrol science and technology",NA,0,NA,NA,0.446,49,0.919,0.00202,NA,2.23147259097518,NA,"Tier II","Tier II"
"11283","hacquetia",NA,0,NA,NA,0.446,8,NA,NA,NA,-1.41375272357349,NA,"Tier III","Tier III"
"11284","semantic web and information systems",NA,0,NA,NA,0.446,27,NA,NA,NA,0.828604397610519,NA,"Tier III","Tier III"
"11286","ieee aerospace and electronic systems magazine",NA,0,NA,NA,0.446,46,0.771,0.00099,NA,2.08426691187874,NA,"Tier II","Tier II"
"11287","journal of pharmacy practice",NA,0,NA,NA,0.446,19,NA,NA,NA,-0.612206288609258,NA,"Tier III","Tier III"
"11288","waste and biomass valorization",NA,0,NA,NA,0.446,20,1.337,0.00158,NA,1.35679199765847,NA,"Tier III","Tier III"
"11289","indian journal of dermatology",NA,0,NA,NA,0.446,20,1.069,0.00248,NA,1.63029779030073,NA,"Tier II","Tier II"
"11290","child abuse review",NA,0,NA,NA,0.446,24,1.543,0.00096,NA,0.988413484092527,NA,"Tier III","Tier III"
"11291","religious studies",NA,0,NA,NA,0.446,16,NA,NA,NA,-0.709184221518552,NA,"Tier III","Tier III"
"11292","acm/ieee international conference on humanrobot interaction",NA,0,NA,NA,0.446,16,NA,NA,NA,-0.711809232669966,NA,"Tier III","Tier III"
"11293","american journal of bioethics",NA,0,NA,NA,0.446,48,6.434,0.00424,NA,2.36788546532867,NA,"Tier II","Tier II"
"11294","educational research and evaluation",NA,0,NA,NA,0.446,26,NA,NA,NA,1.05910342109759,NA,"Tier III","Tier III"
"11295","reading teacher",NA,0,NA,NA,0.446,37,0.69,0.00076,NA,1.27235934820852,NA,"Tier III","Tier III"
"11296","comptes rendus  mecanique",NA,0,NA,NA,0.446,37,NA,NA,NA,1.75593145478995,NA,"Tier II","Tier II"
"11297","international journal of micro air vehicles",NA,0,NA,NA,0.446,9,0.913,0.00031,NA,0.929728464744801,NA,"Tier III","Tier III"
"11298","journal of research in childhood education",NA,0,NA,NA,0.446,15,NA,NA,NA,-0.854602289386252,NA,"Tier III","Tier III"
"11299","international journal of market research",NA,0,NA,NA,0.445,40,0.921,0.00073,1,1.74954718538057,NA,"Tier II","Tier II"
"11300","applied spatial analysis and policy",NA,0,NA,NA,0.445,11,1.825,0.00048,NA,1.18554299255082,NA,"Tier III","Tier III"
"11301","npar symposium on nonphotorealistic animation and rendering",NA,0,NA,NA,0.445,31,NA,NA,NA,1.45902470866477,NA,"Tier III","Tier III"
"11302","journal of functional biomaterials",NA,0,NA,NA,0.445,5,NA,NA,NA,-1.53079377395955,NA,"Tier III","Tier III"
"11303","science china information sciences",NA,0,NA,NA,0.445,36,NA,NA,NA,1.71980477030182,NA,"Tier II","Tier II"
"11304","journal of business venturing insights",NA,0,NA,NA,0.445,4,NA,NA,NA,-1.54801908598745,NA,"Tier III","Tier III"
"11305","norsk geologisk tiddsskrift",NA,0,NA,NA,0.445,35,NA,NA,NA,1.70046811304636,NA,"Tier II","Tier II"
"11306","international journal of breast cancer",NA,0,NA,NA,0.445,6,NA,NA,NA,-1.53239502339797,NA,"Tier III","Tier III"
"11307","acta physica polonica, series b",NA,0,NA,NA,0.445,49,NA,NA,NA,1.92284223315374,NA,"Tier II","Tier II"
"11308","sesp 2013  proceedings of the 1st international workshop on security in embedded systems and smartphones",NA,0,NA,NA,0.445,3,NA,NA,NA,-1.58619247395145,NA,"Tier III","Tier III"
"11309","communication research reports",NA,0,NA,NA,0.445,12,NA,NA,NA,-1.29544254667277,NA,"Tier III","Tier III"
"11310","south african journal of education",NA,0,NA,NA,0.445,16,0.729,0.00048,NA,0.983315505595945,NA,"Tier III","Tier III"
"11311","multimedia systems",NA,0,NA,NA,0.445,51,2.207,0.00116,NA,1.39451434602872,NA,"Tier III","Tier III"
"11312","revista latinoamericana de psicologia",NA,0,NA,NA,0.445,16,0.717,0.00045,NA,0.982557786451739,NA,"Tier III","Tier III"
"11313","international journal of automotive and mechanical engineering",NA,0,NA,NA,0.445,17,NA,NA,NA,-1.09307475961602,NA,"Tier III","Tier III"
"11314","cultura y educacion",NA,0,NA,NA,0.444,10,0.607,0.00022,NA,0.724061754549795,NA,"Tier III","Tier III"
"11315","irish educational studies",NA,0,NA,NA,0.444,14,0.447,0.00039,NA,1.11846922862283,NA,"Tier III","Tier III"
"11316","journal of early childhood research",NA,0,NA,NA,0.444,17,NA,NA,NA,-0.738314383939997,NA,"Tier III","Tier III"
