"","journal","oldtier","ERS","repec_impact","repec_h","sjr","sh","tr_impact","tr_ef","econ_flag"
"10233","drug, healthcare and patient safety",NA,0,NA,NA,"0.522","14",NA,NA,NA
"10234","computerassisted radiology and surgery",NA,0,NA,NA,"0.522","31",NA,NA,NA
"10235","phytokeys",NA,0,NA,NA,"0.522","6","1.116","0.00116",NA
"10236","journal of helminthology",NA,0,NA,NA,"0.522","43","1.42","0.002",NA
"10237","american journal of distance education",NA,0,NA,NA,"0.522","11",NA,NA,NA
"10238","construction innovation",NA,0,NA,NA,"0.522","14",NA,NA,NA
"10239","nonlinear processes in geophysics",NA,0,NA,NA,"0.522","47","1.329","0.00328",NA
"10240","revista brasileira de fisioterapia",NA,0,NA,NA,"0.521","21",NA,NA,NA
"10241","annals of dermatology",NA,0,NA,NA,"0.521","23","1.472","0.00309",NA
"10242","journal of clinical and experimental hematopathology : jceh",NA,0,NA,NA,"0.521","21",NA,NA,NA
"10243","neurosignals",NA,0,NA,NA,"0.521","56","6.143","0.00066",NA
"10244","journal of nonlinear and convex analysis",NA,0,NA,NA,"0.521","14","0.642","0.00151",NA
"10245","anesthesiology clinics",NA,0,NA,NA,"0.521","44",NA,NA,NA
"10246","journal of geriatric physical therapy",NA,0,NA,NA,"0.521","29","1.51","0.00092",NA
"10247","robotica",NA,0,NA,NA,"0.521","54","1.554","0.00231",NA
"10248","journal of experimental and theoretical physics",NA,0,NA,NA,"0.521","43","1.196","0.00536",NA
"10249","child language teaching and therapy",NA,0,NA,NA,"0.521","22","0.978","0.00059",NA
"10250","journal of arid land",NA,0,NA,NA,"0.521","13","1.796","0.00153",NA
"10251","peace and conflict",NA,0,NA,NA,"0.521","27",NA,NA,NA
"10252","systems engineering",NA,0,NA,NA,"0.52","36","0.5","5e-04",NA
"10253","journal for the study of the old testament",NA,0,NA,NA,"0.52","12",NA,NA,NA
"10254","international journal of technology and design education",NA,0,NA,NA,"0.52","26","0.852","3e-04",NA
"10255","journal of investigative psychology and offender profiling",NA,0,NA,NA,"0.52","13","0.938","5e-04",NA
"10256","bollettino della societa paleontologica italiana",NA,0,NA,NA,"0.52","25","0.903","0.00043",NA
"10257","international journal of material forming",NA,0,NA,NA,"0.52","22","1.978","0.00136",NA
"10258","astrophysics and space science",NA,0,NA,NA,"0.52","56","1.622","0.01335",NA
"10259","acta ornithologica",NA,0,NA,NA,"0.52","23","0.896","0.00065",NA
"10260","journal of dynamic systems, measurement and control, transactions of the asme",NA,0,NA,NA,"0.52","74",NA,NA,NA
"10261","canadian journal of earth sciences",NA,0,NA,NA,"0.52","63","0.923","0.00308",NA
"10262","electronic materials letters",NA,0,NA,NA,"0.519","23","1.79","0.00257",NA
"10263","blood coagulation and fibrinolysis",NA,0,NA,NA,"0.519","64","1.367","0.00438",NA
"10264","journal of obstetrics and gynaecology research",NA,0,NA,NA,"0.519","42","1.099","0.00654",NA
"10265","applied petrochemical research",NA,0,NA,NA,"0.519","1",NA,NA,NA
"10266","biochemical genetics",NA,0,NA,NA,"0.519","34","1.543","0.00124",NA
"10267","canadian journal of philosophy",NA,0,NA,NA,"0.519","15",NA,NA,NA
"10268","stratigraphy",NA,0,NA,NA,"0.519","17","0.54","0.00059",NA
"10269","environmentalist",NA,0,NA,NA,"0.519","29",NA,NA,NA
"10270","veterinary clinics of north america equine practice",NA,0,NA,NA,"0.519","41",NA,NA,NA
"10271","oncology research and treatment",NA,0,NA,NA,"0.519","39","1.667","0.001",NA
"10272","nuklearmedizin",NA,0,NA,NA,"0.519","34",NA,NA,NA
"10273","9th international symposium on software engineering for adaptive and selfmanaging systems, seams 2014  proceedings",NA,0,NA,NA,"0.519","7",NA,NA,NA
"10274","southern african journal of hiv medicine",NA,0,NA,NA,"0.519","13","0.345","0.00067",NA
"10275","proceedings of the international symposium on mobile ad hoc networking and computing (mobihoc)",NA,0,NA,NA,"0.519","73",NA,NA,NA
"10276","journal of the american helicopter society",NA,0,NA,NA,"0.519","44","0.695","0.00073",NA
"10277","chinese journal of polymer science (english edition)",NA,0,NA,NA,"0.519","25",NA,NA,NA
"10278","mathematical and computer modelling",NA,0,NA,NA,"0.519","81",NA,NA,NA
"10279","journal of maritime archaeology",NA,0,NA,NA,"0.519","9",NA,NA,NA
"10280","journal of immigrant and minority health",NA,0,NA,NA,"0.519","42","1.314","0.00614",NA
"10281","qualitative social work",NA,0,NA,NA,"0.518","19","0.92","0.00089",NA
"10282","jixie gongcheng xuebao/chinese journal of mechanical engineering",NA,0,NA,NA,"0.518","35",NA,NA,NA
"10283","journal of mining and metallurgy, section b: metallurgy",NA,0,NA,NA,"0.518","14",NA,NA,NA
"10284","south african journal of botany",NA,0,NA,NA,"0.518","40","1.427","0.00354",NA
"10285","proceedings of the workshop on dynamic networks management and mining, dynetmm 2013",NA,0,NA,NA,"0.518","3",NA,NA,NA
"10286","journal of multidisciplinary healthcare",NA,0,NA,NA,"0.518","14",NA,NA,NA
"10287","journal of pediatric hematology/oncology",NA,0,NA,NA,"0.518","67",NA,NA,NA
"10288","journal of clinical and aesthetic dermatology",NA,0,NA,NA,"0.518","23",NA,NA,NA
"10289","pediatric emergency care",NA,0,NA,NA,"0.518","54","1.034","0.00691",NA
"10290","cryptogamie, algologie",NA,0,NA,NA,"0.518","26",NA,NA,NA
"10291","rice science",NA,0,NA,NA,"0.518","14",NA,NA,NA
"10292","journal of occupational and environmental hygiene",NA,0,NA,NA,"0.517","42","1.2","0.00241",NA
"10293","journal of dental biomechanics",NA,0,NA,NA,"0.517","6",NA,NA,NA
"10294","human fertility",NA,0,NA,NA,"0.517","30","1.103","0.00078",NA
"10295","journal of molecular graphics and modelling",NA,0,NA,NA,"0.517","61","1.754","0.00372",NA
"10296","journal of communication management",NA,0,NA,NA,"0.517","12",NA,NA,NA
"10297","plant gene",NA,0,NA,NA,"0.517","5",NA,NA,NA
"10298","iet systems biology",NA,0,NA,NA,"0.517","34","1.048","0.00083",NA
"10299","ecancermedicalscience",NA,0,NA,NA,"0.517","12",NA,NA,NA
"10300","automated software engineering",NA,0,NA,NA,"0.517","37","2.625","0.00097",NA
"10301","resource geology",NA,0,NA,NA,"0.517","31","0.83","0.00061",NA
"10302","journal of composite materials",NA,0,NA,NA,"0.517","66","1.494","0.00701",NA
"10303","ethnicity and disease",NA,0,NA,NA,"0.516","57","0.993","0.0023",NA
"10304","european journal of dental education",NA,0,NA,NA,"0.516","31","1.053","0.00103",NA
"10305","2014 formal methods in computeraided design, fmcad 2014",NA,0,NA,NA,"0.516","6",NA,NA,NA
"10306","canadian journal of infectious diseases and medical microbiology",NA,0,NA,NA,"0.516","28","1.459","0.00143",NA
"10307","neurogenesis",NA,0,NA,NA,"0.516","1",NA,NA,NA
"10308","updates in surgery",NA,0,NA,NA,"0.516","21",NA,NA,NA
"10309","advances in developing human resources",NA,0,NA,NA,"0.516","20",NA,NA,NA
"10310","east european politics and societies",NA,0,NA,NA,"0.516","31","0.4","0.00103",NA
"10311","international journal of music education",NA,0,NA,NA,"0.516","19","0.391","0.00023",NA
"10312","phycological research",NA,0,NA,NA,"0.516","34","1.338","0.00079",NA
"10313","grazer philosophische studien",NA,0,NA,NA,"0.515","4",NA,NA,NA
"10314","bioscience, biotechnology and biochemistry",NA,0,NA,NA,"0.515","97",NA,NA,NA
"10315","surgical laparoscopy, endoscopy and percutaneous techniques",NA,0,NA,NA,"0.515","55",NA,NA,NA
"10316","tropical animal health and production",NA,0,NA,NA,"0.515","35","0.912","0.00463",NA
"10317","2013 european control conference, ecc 2013",NA,0,NA,NA,"0.515","16",NA,NA,NA
"10318","annals of vascular surgery",NA,0,NA,NA,"0.515","64","1.145","0.00892",NA
"10319","endocrine regulations",NA,0,NA,NA,"0.515","28",NA,NA,NA
"10320","naacl hlt 2013  2013 conference of the north american chapter of the association for computational linguistics: human language technologies, proceedings of the main conference",NA,0,NA,NA,"0.515","20",NA,NA,NA
"10321","comparative medicine",NA,0,NA,NA,"0.515","55","0.832","0.00145",NA
"10322","medical devices: evidence and research",NA,0,NA,NA,"0.515","15",NA,NA,NA
"10323","journal of human reproductive sciences",NA,0,NA,NA,"0.515","17",NA,NA,NA
"10324","asian population studies",NA,0,NA,NA,"0.515","12","0.629","0.00036",NA
"10325","coaching",NA,0,NA,NA,"0.515","7",NA,NA,NA
"10326","medical principles and practice",NA,0,NA,NA,"0.515","33","1.469","0.00223",NA
"10327","forum for world literature studies",NA,0,NA,NA,"0.515","2",NA,NA,NA
"10328","vanet 2013  proceedings of the 10th acm international workshop on vehicular internetworking, systems, and applications",NA,0,NA,NA,"0.515","6",NA,NA,NA
"10329","algae",NA,0,NA,NA,"0.514","9","1.367","0.00066",NA
"10330","genetic testing and molecular biomarkers",NA,0,NA,NA,"0.514","39","1.263","0.00325",NA
"10331","geologica acta",NA,0,NA,NA,"0.514","36","0.86","0.00106",NA
"10332","commonwealth and comparative politics",NA,0,NA,NA,"0.514","20",NA,NA,NA
"10333","drug development research",NA,0,NA,NA,"0.514","52","1.909","0.00128",NA
"10334","therapeutic hypothermia and temperature management",NA,0,NA,NA,"0.514","6","1.787","0.00069",NA
"10335","australian journal of public administration",NA,0,NA,NA,"0.514","33","1.072","0.00087",NA
"10336","thoracic and cardiovascular surgeon",NA,0,NA,NA,"0.514","47","1.424","0.00299",NA
"10337","journal of pediatric orthopaedics part b",NA,0,NA,NA,"0.514","46",NA,NA,NA
"10338","inflammation and allergy  drug targets",NA,0,NA,NA,"0.514","56",NA,NA,NA
"10339","journal of college student development",NA,0,NA,NA,"0.514","55","0.623","0.00113",NA
"10340","acta biochimica polonica",NA,0,NA,NA,"0.513","67","1.159","0.0029",NA
"10341","acta protozoologica",NA,0,NA,NA,"0.513","31","1.481","0.00081",NA
"10342","canadian mathematical bulletin",NA,0,NA,NA,"0.513","20",NA,NA,NA
"10343","ieee pacific visualization symposium",NA,0,NA,NA,"0.513","9",NA,NA,NA
"10344","journal of organizational ethnography",NA,0,NA,NA,"0.513","8",NA,NA,NA
"10345","journal of applied clinical medical physics",NA,0,NA,NA,"0.513","35","1.338","0.00437",NA
"10346","journal of discrete algorithms",NA,0,NA,NA,"0.513","26",NA,NA,NA
"10347","journal of world trade",NA,0,NA,NA,"0.513","26","0.518","0.00065","1"
"10348","physics of metals and metallography",NA,0,NA,NA,"0.513","25","0.884","0.00165",NA
"10349","learning, culture and social interaction",NA,0,NA,NA,"0.513","10",NA,NA,NA
"10350","journal of community psychology",NA,0,NA,NA,"0.513","70","0.86","0.00195",NA
"10351","bmc nursing",NA,0,NA,NA,"0.513","23",NA,NA,NA
"10352","stanford journal of international law",NA,0,NA,NA,"0.513","17","0.947","0.00026",NA
"10353","science china technological sciences",NA,0,NA,NA,"0.513","40",NA,NA,NA
"10354","symmetry, integrability and geometry  methods and applications",NA,0,NA,NA,"0.513","19",NA,NA,NA
"10355","doga, turkish journal of botany",NA,0,NA,NA,"0.513","28",NA,NA,NA
"10356","journal of applied animal welfare science",NA,0,NA,NA,"0.513","28","1.148","0.00065",NA
"10357","journal of spacecraft and rockets",NA,0,NA,NA,"0.513","62","0.804","0.00277",NA
"10358","biodemography and social biology",NA,0,NA,NA,"0.513","25","0.781","0.00051",NA
"10359","dermatology research and practice",NA,0,NA,NA,"0.512","19",NA,NA,NA
"10360","documenta praehistorica",NA,0,NA,NA,"0.512","11",NA,NA,NA
"10361","journal of plastic surgery and hand surgery",NA,0,NA,NA,"0.512","39","0.901","0.00193",NA
"10362","advances in structural engineering",NA,0,NA,NA,"0.512","27","0.829","0.00258",NA
"10363","journal of ethology",NA,0,NA,NA,"0.512","27","1.061","0.00105",NA
"10364","iranian journal of basic medical sciences",NA,0,NA,NA,"0.512","19","1.424","0.00224",NA
"10365","international journal of logistics research and applications",NA,0,NA,NA,"0.512","17",NA,NA,NA
"10366","csws 2014  proceedings of the acm sigcomm 2014 workshop on capacity sharing workshop",NA,0,NA,NA,"0.512","4",NA,NA,NA
"10367","recent results in cancer research",NA,0,NA,NA,"0.512","49",NA,NA,NA
"10368","macromolecular reaction engineering",NA,0,NA,NA,"0.512","24","1.571","0.0011",NA
"10369","cbse 2013  proceedings of the 16th acm sigsoft symposium on component based software engineering",NA,0,NA,NA,"0.512","7",NA,NA,NA
"10370","international journal of biomedical imaging",NA,0,NA,NA,"0.512","27",NA,NA,NA
"10371","machining science and technology",NA,0,NA,NA,"0.512","37","1.053","0.00071",NA
"10372","mobisys 2013  proceedings of the 11th annual international conference on mobile systems, applications, and services",NA,0,NA,NA,"0.512","19",NA,NA,NA
"10373","scientia forestalis/forest sciences",NA,0,NA,NA,"0.512","20",NA,NA,NA
"10374","journal of energy resources technology, transactions of the asme",NA,0,NA,NA,"0.511","39",NA,NA,NA
"10375","medical reference services quarterly",NA,0,NA,NA,"0.511","15",NA,NA,NA
"10376","italian journal of geosciences",NA,0,NA,NA,"0.511","25","1.767","0.00136",NA
"10377","clinical eeg and neuroscience",NA,0,NA,NA,"0.511","43","2.163","0.00189",NA
"10378","emergency radiology",NA,0,NA,NA,"0.511","35",NA,NA,NA
"10379","chromatographia",NA,0,NA,NA,"0.511","60","1.402","0.00393",NA
"10380","primary care  clinics in office practice",NA,0,NA,NA,"0.511","36",NA,NA,NA
"10381","conference proceedings  ieee applied power electronics conference and exposition  apec",NA,0,NA,NA,"0.511","68",NA,NA,NA
"10382","international journal of bilingualism",NA,0,NA,NA,"0.511","24","0.974","0.00141",NA
"10383","seminars in speech and language",NA,0,NA,NA,"0.511","31","0.964","0.00094",NA
"10384","journal of optometry",NA,0,NA,NA,"0.511","15",NA,NA,NA
"10385","journal of environmental science and health  part a toxic/hazardous substances and environmental engineering",NA,0,NA,NA,"0.511","57",NA,NA,NA
"10386","middle east african journal of ophthalmology",NA,0,NA,NA,"0.511","14",NA,NA,NA
"10387","journal of investigative surgery",NA,0,NA,NA,"0.511","34","1.532","0.00119",NA
"10388","clinical respiratory journal",NA,0,NA,NA,"0.511","21","2.356","0.00197",NA
"10389","endokrynologia polska",NA,0,NA,NA,"0.51","19","1.341","0.00134",NA
"10390","results in immunology",NA,0,NA,NA,"0.51","9",NA,NA,NA
"10391","operator theory: advances and applications",NA,0,NA,NA,"0.51","10",NA,NA,NA
"10392","virologica sinica",NA,0,NA,NA,"0.51","16",NA,NA,NA
"10393","electrochemical society interface",NA,0,NA,NA,"0.51","32",NA,NA,NA
"10394","journal of psychoeducational assessment",NA,0,NA,NA,"0.51","35","1.034","0.00218",NA
"10395","acta haematologica",NA,0,NA,NA,"0.51","51","1.205","0.00175",NA
"10396","international journal of astrobiology",NA,0,NA,NA,"0.51","21","1.598","0.00134",NA
"10397","international review of automatic control",NA,0,NA,NA,"0.51","9",NA,NA,NA
"10398","journal of genetic psychology",NA,0,NA,NA,"0.51","43","0.452","0.00079",NA
"10399","australasian journal of dermatology",NA,0,NA,NA,"0.51","43","1.304","0.00229",NA
"10400","history and anthropology",NA,0,NA,NA,"0.51","16",NA,NA,NA
"10401","bulletin of environmental contamination and toxicology",NA,0,NA,NA,"0.51","58","1.412","0.00631",NA
"10402","lighting research and technology",NA,0,NA,NA,"0.51","37","1.784","0.00118",NA
"10403","eurasia journal of mathematics, science and technology education",NA,0,NA,NA,"0.51","21",NA,NA,NA
"10404","indian journal of clinical biochemistry",NA,0,NA,NA,"0.51","29",NA,NA,NA
"10405","conext 2014  proceedings of the 2014 conference on emerging networking experiments and technologies",NA,0,NA,NA,"0.51","8",NA,NA,NA
"10406","applied physics a: materials science and processing",NA,0,NA,NA,"0.509","127",NA,NA,NA
"10407","knowledge and management of aquatic ecosystems",NA,0,NA,NA,"0.509","17","1.217","0.00091",NA
"10408","british dental journal",NA,0,NA,NA,"0.509","66","1.009","0.00346",NA
"10409","hpdc 2014  proceedings of the 23rd international symposium on highperformance parallel and distributed computing",NA,0,NA,NA,"0.509","9",NA,NA,NA
"10410","international journal of hepatology",NA,0,NA,NA,"0.509","4",NA,NA,NA
"10411","hastings center report",NA,0,NA,NA,"0.509","50","1.345","0.00206",NA
"10412","methods in molecular biology (clifton, njournal)",NA,0,NA,NA,"0.509","104",NA,NA,NA
"10413","journal of feminist family therapy",NA,0,NA,NA,"0.509","10",NA,NA,NA
"10414","clinical and molecular allergy",NA,0,NA,NA,"0.509","27",NA,NA,NA
"10415","artemis 2013  proceedings of the 4th acm/ieee international workshop on analysis and retrieval of tracked events and motion in imagery stream",NA,0,NA,NA,"0.509","5",NA,NA,NA
"10416","research in occupational stress and well being",NA,0,NA,NA,"0.509","18",NA,NA,NA
"10417","anthropozoologica",NA,0,NA,NA,"0.509","5","0.607","0.00029",NA
"10418","scoliosis",NA,0,NA,NA,"0.508","27",NA,NA,NA
"10419","proceedings of the 5th acm symposium on cloud computing, socc 2014",NA,0,NA,NA,"0.508","8",NA,NA,NA
"10420","gynecological surgery",NA,0,NA,NA,"0.508","18",NA,NA,NA
"10421","journal of chemotherapy",NA,0,NA,NA,"0.508","44","1.577","0.00171",NA
"10422","european journal of mass spectrometry",NA,0,NA,NA,"0.508","38","1.022","0.00108",NA
"10423","revista do instituto de medicina tropical de sao paulo",NA,0,NA,NA,"0.508","40","1.052","0.00175",NA
"10424","journal of global antimicrobial resistance",NA,0,NA,NA,"0.508","8","1.276","0.00083",NA
"10425","proceedings of the 2014 1st international conference on 5g for ubiquitous connectivity, 5gu 2014",NA,0,NA,NA,"0.508","6",NA,NA,NA
"10426","korean journal of parasitology",NA,0,NA,NA,"0.508","31","0.889","0.00179",NA
"10427","advances in applied mathematics and mechanics",NA,0,NA,NA,"0.508","16","0.763","0.00104",NA
"10428","microrna (shāriqah, united arab emirates)",NA,0,NA,NA,"0.508","9",NA,NA,NA
"10429","counselor education and supervision",NA,0,NA,NA,"0.508","13",NA,NA,NA
"10430","academic psychiatry",NA,0,NA,NA,"0.508","35","1.395","0.00203",NA
"10431","neuroimaging clinics of north america",NA,0,NA,NA,"0.508","48","1.325","0.00135",NA
"10432","proceedings of the annual conference of the international speech communication association, interspeech",NA,0,NA,NA,"0.508","37",NA,NA,NA
"10433","journal of motor behavior",NA,0,NA,NA,"0.508","59","1.327","0.00175",NA
"10434","studies in history and philosophy of science part a",NA,0,NA,NA,"0.508","28",NA,NA,NA
"10435","international journal of protective structures",NA,0,NA,NA,"0.508","17",NA,NA,NA
"10436","physician and sportsmedicine",NA,0,NA,NA,"0.508","32","1.292","0.00187",NA
"10437","international journal of polymer analysis and characterization",NA,0,NA,NA,"0.507","26",NA,NA,NA
"10438","acta geologica polonica",NA,0,NA,NA,"0.507","29","0.917","0.00068",NA
"10439","canadian journal of animal science",NA,0,NA,NA,"0.507","50","0.827","0.00145",NA
"10440","european journal of social work",NA,0,NA,NA,"0.507","14","0.615","0.00056",NA
"10441","journal of the american academy of psychiatry and the law",NA,0,NA,NA,"0.507","46","1.212","0.00127",NA
"10442","structure and bonding",NA,0,NA,NA,"0.507","36","2.404","0.00183",NA
"10443","ieee transactions on plasma science",NA,0,NA,NA,"0.507","88","1.052","0.01305",NA
"10444","asian journal of criminology",NA,0,NA,NA,"0.506","9",NA,NA,NA
"10445","phytotaxa",NA,0,NA,NA,"0.506","21","1.24","0.00802",NA
"10446","computational complexity",NA,0,NA,NA,"0.506","30","0.441","0.00124",NA
"10447","journal of environmental science and health  part b pesticides, food contaminants, and agricultural wastes",NA,0,NA,NA,"0.506","38",NA,NA,NA
"10448","anatolia",NA,0,NA,NA,"0.506","16",NA,NA,NA
"10449","journal of environmental health science and engineering",NA,0,NA,NA,"0.506","21","0.338","0.00025",NA
"10450","stratigraphy and geological correlation",NA,0,NA,NA,"0.506","23","0.744","0.00075",NA
"10451","british journal of aesthetics",NA,0,NA,NA,"0.505","19",NA,NA,NA
"10452","revstat statistical journal",NA,0,NA,NA,"0.505","8",NA,NA,NA
"10453","prison journal",NA,0,NA,NA,"0.505","38","1.319","0.00103",NA
"10454","computer methods in biomechanics and biomedical engineering",NA,0,NA,NA,"0.505","45","1.909","0.00586",NA
"10455","echocardiography",NA,0,NA,NA,"0.505","52",NA,NA,NA
"10456","police practice and research",NA,0,NA,NA,"0.505","12",NA,NA,NA
"10457","materials transactions",NA,0,NA,NA,"0.505","84","0.713","0.00639",NA
"10458","iet wireless sensor systems",NA,0,NA,NA,"0.505","15",NA,NA,NA
"10459","journal of biosocial science",NA,0,NA,NA,"0.505","44","1.188","0.00142",NA
"10460","arboriculture and urban forestry",NA,0,NA,NA,"0.505","37",NA,NA,NA
"10461","immunopharmacology and immunotoxicology",NA,0,NA,NA,"0.505","38","1.475","0.00186",NA
"10462","physiological and molecular plant pathology",NA,0,NA,NA,"0.505","66","1.139","0.00127",NA
"10463","international journal of the sociology of language",NA,0,NA,NA,"0.505","23",NA,NA,NA
"10464","proceedings of the 2014 ieee international symposium on hardwareoriented security and trust, host 2014",NA,0,NA,NA,"0.505","9",NA,NA,NA
"10465","canadian journal of chemical engineering",NA,0,NA,NA,"0.504","53","1.356","0.0043",NA
"10466","journal of arthropodborne diseases",NA,0,NA,NA,"0.504","8","1.218","4e-04",NA
"10467","canadian mineralogist",NA,0,NA,NA,"0.504","60","0.817","0.00268",NA
"10468","nursing inquiry",NA,0,NA,NA,"0.504","41","1.143","0.00088",NA
"10469","journal of biomaterials science, polymer edition",NA,0,NA,NA,"0.504","84",NA,NA,NA
"10470","nursing forum",NA,0,NA,NA,"0.504","28",NA,NA,NA
"10471","photogrammetrie, fernerkundung, geoinformation",NA,0,NA,NA,"0.504","14",NA,NA,NA
"10472","contemporary politics",NA,0,NA,NA,"0.504","12","0.571","0.00083",NA
"10473","language awareness",NA,0,NA,NA,"0.504","14","0.605","0.00037",NA
"10474","journal of the american institute for conservation",NA,0,NA,NA,"0.504","13",NA,NA,NA
"10475","journal of change management",NA,0,NA,NA,"0.504","15",NA,NA,NA
"10476","ionics",NA,0,NA,NA,"0.504","40","2.062","0.00465",NA
"10477","new left review",NA,0,NA,NA,"0.504","52","1.77","0.00254",NA
"10478","ochsner journal",NA,0,NA,NA,"0.503","19",NA,NA,NA
"10479","eating and weight disorders",NA,0,NA,NA,"0.503","33",NA,NA,NA
"10480","proceedings of the 8th acm/ieee international conference on distributed smart cameras, icdsc 2014",NA,0,NA,NA,"0.503","4",NA,NA,NA
"10481","ase 2014  proceedings of the 29th acm/ieee international conference on automated software engineering",NA,0,NA,NA,"0.503","10",NA,NA,NA
"10482","new directions for child and adolescent development",NA,0,NA,NA,"0.503","37","1.102","0.00118",NA
"10483","netherlands heart journal",NA,0,NA,NA,"0.503","27","1.894","0.00195",NA
"10484","journal of management control",NA,0,NA,NA,"0.503","8",NA,NA,NA
"10485","discussiones mathematicae  graph theory",NA,0,NA,NA,"0.503","10",NA,NA,NA
"10486","biophysical reviews and letters",NA,0,NA,NA,"0.503","10",NA,NA,NA
"10487","pediatric transplantation",NA,0,NA,NA,"0.503","59","1.294","0.00502",NA
"10488","botany",NA,0,NA,NA,"0.502","72","1.224","0.00282",NA
"10489","feminist media studies",NA,0,NA,NA,"0.502","25",NA,NA,NA
"10490","ieee intelligent transportation systems magazine",NA,0,NA,NA,"0.502","20","3.654","0.00117",NA
"10491","journal for healthcare quality : official publication of the national association for healthcare quality",NA,0,NA,NA,"0.502","19",NA,NA,NA
"10492","proceedings of the computer security foundations workshop",NA,0,NA,NA,"0.502","52",NA,NA,NA
"10493","international journal of offshore and polar engineering",NA,0,NA,NA,"0.502","31","0.341","0.00057",NA
"10494","international journal of computer mathematics",NA,0,NA,NA,"0.502","36","0.971","0.00447",NA
"10495","education and urban society",NA,0,NA,NA,"0.502","28","0.465","0.00068",NA
"10496","2014 ieee workshop on spoken language technology, slt 2014  proceedings",NA,0,NA,NA,"0.502","7",NA,NA,NA
"10497","musculoskeletal care",NA,0,NA,NA,"0.502","22",NA,NA,NA
"10498","international journal of culture, tourism, and hospitality research",NA,0,NA,NA,"0.501","9",NA,NA,NA
"10499","music perception",NA,0,NA,NA,"0.501","48","0.942","0.00122",NA
"10500","evidencebased hrm",NA,0,NA,NA,"0.501","5",NA,NA,NA
"10501","vascular and endovascular surgery",NA,0,NA,NA,"0.501","39","1.094","0.00241",NA
"10502","european journal of engineering education",NA,0,NA,NA,"0.501","22",NA,NA,NA
"10503","journal of medical systems",NA,0,NA,NA,"0.501","51","2.456","0.00528",NA
"10504","south african medical journal",NA,0,NA,NA,"0.501","47",NA,NA,NA
"10505","ameghiniana",NA,0,NA,NA,"0.501","31","1.194","0.00119",NA
"10506","knowledge engineering review",NA,0,NA,NA,"0.501","49","1.51","0.00114",NA
"10507","24th international sff symposium  an additive manufacturing conference, sff 2013",NA,0,NA,NA,"0.501","8",NA,NA,NA
"10508","fish physiology",NA,0,NA,NA,"0.501","25",NA,NA,NA
"10509","historical methods",NA,0,NA,NA,"0.501","17","0.545","0.00046",NA
"10510","feminism and psychology",NA,0,NA,NA,"0.5","39","0.757","0.00097",NA
"10511","ofioliti",NA,0,NA,NA,"0.5","29","1","0.00028",NA
"10512","hospital pediatrics",NA,0,NA,NA,"0.5","7",NA,NA,NA
"10513","concurrent engineering research and applications",NA,0,NA,NA,"0.5","37",NA,NA,NA
"10514","journal of chemometrics",NA,0,NA,NA,"0.5","77","1.884","0.00214",NA
"10515","journal of cardiovascular ultrasound",NA,0,NA,NA,"0.5","10",NA,NA,NA
"10516","revue d'epidemiologie et de sante publique",NA,0,NA,NA,"0.5","33",NA,NA,NA
"10517","bulletin of geosciences",NA,0,NA,NA,"0.5","25","1.175","0.00121",NA
"10518","archives of disease in childhood: education and practice edition",NA,0,NA,NA,"0.5","20",NA,NA,NA
"10519","canadian association of radiologists journal",NA,0,NA,NA,"0.5","28",NA,NA,NA
"10520","journal of industrial relations",NA,0,NA,NA,"0.5","17","0.684","7e-04",NA
"10521","international ophthalmology clinics",NA,0,NA,NA,"0.5","35",NA,NA,NA
"10522","energy, sustainability and society",NA,0,NA,NA,"0.5","12",NA,NA,NA
"10523","psych journal",NA,0,NA,NA,"0.499","5",NA,NA,NA
"10524","engineering with computers",NA,0,NA,NA,"0.499","37","0.765","0.00137",NA
"10525","feminist criminology",NA,0,NA,NA,"0.499","16","0.97","0.00048",NA
"10526","acta ethologica",NA,0,NA,NA,"0.499","25","1.417","0.00067",NA
"10527","advances in bioinformatics",NA,0,NA,NA,"0.499","11",NA,NA,NA
"10528","international journal of mental health and addiction",NA,0,NA,NA,"0.499","27","1.179","0.00157",NA
"10529","american journal of pharmaceutical education",NA,0,NA,NA,"0.499","44","1.109","0.0021",NA
"10530","journal of experimental algorithmics",NA,0,NA,NA,"0.499","20",NA,NA,NA
"10531","bulletin of the council for research in music education",NA,0,NA,NA,"0.499","11",NA,NA,NA
"10532","longitudinal and life course studies",NA,0,NA,NA,"0.499","5",NA,NA,NA
"10533","aquaculture reports",NA,0,NA,NA,"0.499","5",NA,NA,NA
"10534","lankesteriana",NA,0,NA,NA,"0.499","9",NA,NA,NA
"10535","community ecology",NA,0,NA,NA,"0.499","24","0.782","0.00093",NA
"10536","australian journal of chemistry",NA,0,NA,NA,"0.499","68","1.267","0.00553",NA
"10537","international journal of biological markers",NA,0,NA,NA,"0.499","35","1.457","0.0011",NA
"10538","pharmaceutical development and technology",NA,0,NA,NA,"0.499","46","1.86","0.00229",NA
"10539","computational and applied mathematics",NA,0,NA,NA,"0.499","16","0.961","0.00113",NA
"10540","clinical medicine insights: pathology",NA,0,NA,NA,"0.498","7",NA,NA,NA
"10541","journal of occupational health",NA,0,NA,NA,"0.498","48","1.848","0.00215",NA
"10542","clinical and investigative medicine",NA,0,NA,NA,"0.498","41","0.938","0.00111",NA
"10543","doklady earth sciences",NA,0,NA,NA,"0.498","23","0.519","0.00414",NA
"10544","addictive behaviors reports",NA,0,NA,NA,"0.498","5",NA,NA,NA
